symbol,kind,parent_class,header,signature,line,prod_usage_count,prod_reachable,churn_12m,workflows_direct,header_basename_collision,name_uniqueness,match_confidence
toString,p,o2::conf::ParamDataMember,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParamHelper.h,"(std::string const & prefix,bool showProv,size_t padding=0) const",37,-1,true,0,-1,false,ambiguous,ambiguous
toString,f,o2::utils::details::enum_flags::FlagsHelper,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(),255,-1,true,0,-1,false,ambiguous,ambiguous
to_bit,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(E e) const,372,0,true,0,0,false,unique,high
to_underlying,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(E e) const,366,0,true,0,0,false,unique,high
toggle,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(T t),484,6,true,0,0,false,unique,medium
tokenize,p,o2::utils::Str,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/StringUtils.h,"(const std::string & src,char delim,bool trimToken=true,bool skipEmpty=true)",137,21,true,0,14,false,unique,medium
tpeek,f,o2::utils::details::enum_flags::FlagsHelper,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(),71,0,true,0,0,false,unique,low
trim,f,o2::utils::Str,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/StringUtils.h,(std::string & s),70,32,true,0,1,false,unique,low
trim_copy,f,o2::utils::Str,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/StringUtils.h,(const std::string & s),119,0,true,0,0,false,unique,high
truncateFloatFraction,f,o2::math_utils::detail,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/TypeTruncation.h,"(float x,uint32_t mask=0xFFFFFF00)",30,111,true,0,103,false,unique,high
tryAttach,p,o2::utils::ShmManager,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ShmManager.h,(bool & success),118,0,true,0,0,false,unique,high
tsallisCharged,p,o2::math_utils::Tsallis,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Tsallis.h,"(float pt,float mass,float sqrts)",32,0,true,0,0,false,unique,high
uchar2,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,65,0,true,0,0,false,unique,medium
uint1,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,71,0,true,0,0,false,unique,low
uint2,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,72,2,true,0,0,false,unique,low
uint3,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,73,0,true,0,0,false,unique,low
uint4,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,74,1,true,0,0,false,unique,low
union_with,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(const EnumFlags & o) const,670,0,true,0,0,false,unique,high
update,p,o2::math_utils::detail::Bracket,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/Bracket.h,(T v),74,154,true,0,19,false,unique,medium
updateFromFile,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string const &,std::string const & paramsList="""",bool unchangedOnly=false)",268,11,true,0,11,false,unique,high
updateFromString,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(std::string const &),263,97,true,0,97,false,unique,high
updateThroughStorageMap,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string,std::string,std::type_info const &,void *)",282,0,true,0,0,false,unique,high
updateThroughStorageMapWithConversion,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string const &,std::string const &)",283,0,true,0,0,false,unique,high
upgradesEnabled,f,o2::detectors::DetID,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetID.h,(),163,0,true,0,0,false,unique,high
useL2GCache,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(),164,0,true,0,0,false,unique,high
useT2GCache,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(),163,0,true,0,0,false,unique,high
useT2GRotCache,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(),165,0,true,0,0,false,unique,high
useT2LCache,f,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(),162,0,true,0,0,false,unique,high
ushort2,s,,/Users/miranov25/alicesw/O2/GPU/Common/GPUCommonDefAPI.h,,67,0,true,0,0,false,unique,medium
value,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,() const,436,1601,true,0,193,false,unique,low
version,f,o2::ctf::ANSHeader,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/ANSHeader.h,() const,43,358,true,0,12,false,unique,medium
writeDictionary,p,o2::ctf::internal::InplaceEntropyCoder,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/internal/InplaceEntropyCoder.h,"(dst_IT dstBegin,dst_IT dstEnd)",83,1,true,0,0,false,unique,high
writeINI,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string const & filename,std::string const & keyOnly="""")",188,23,true,0,23,false,unique,high
writeIncompressible,p,o2::ctf::internal::ExternalEntropyCoder,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/internal/ExternalEntropyCoder.h,"(dst_T * dstBegin,dst_T * dstEnd) const",59,-1,true,0,-1,false,ambiguous,ambiguous
writeIncompressible,p,o2::ctf::internal::InplaceEntropyCoder,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/internal/InplaceEntropyCoder.h,"(dst_T * dstBegin,dst_T * dstEnd)",86,-1,true,0,-1,false,ambiguous,ambiguous
writeJSON,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,"(std::string const & filename,std::string const & keyOnly="""")",186,0,true,0,0,false,unique,high
writeToDisc,f,o2::conf::SimConfig,/Users/miranov25/alicesw/O2/Common/SimConfig/include/SimConfig/SimConfig.h,() const,179,1,true,0,1,false,unique,high
~BinCenterView,p,o2::utils::BinCenterView,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(),65,0,true,0,0,false,unique,high
~BinLowerView,p,o2::utils::BinLowerView,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(),127,0,true,0,0,false,unique,high
~BinUpperView,p,o2::utils::BinUpperView,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/BoostHistogramUtils.h,(),95,0,true,0,0,false,unique,high
~Block,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,(),208,0,true,0,0,false,unique,high
~Bracket,p,o2::math_utils::detail::Bracket,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/Bracket.h,(),46,0,true,0,0,false,unique,high
~ConfigurableParam,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(),285,0,true,0,0,false,unique,high
~DetMatrixCache,p,o2::detectors::DetMatrixCache,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(),83,0,true,0,0,false,unique,high
~DetMatrixCacheIndirect,p,o2::detectors::DetMatrixCacheIndirect,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/DetMatrixCache.h,(),138,0,true,0,0,false,unique,high
~EnumFlags,p,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(),400,0,true,0,0,false,unique,high
